Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
Automation Engineer (UiPath) - 6290,Cambridge University Press & Assessment,"Manila, Metro Manila",,"work setup: hybrid (open to 2x a week in the office)work schedule: 10am to 6pm manila time when in the office, 3pm to 12am when remote

employment type: permanentlocation: makati city, metro manilapay range: php 60,000 to php 81,000we value transparency and encourage applicants comfortable with this range to apply. discover a world of endless possibilities with cambridge university press & assessment, a distinguished global academic publisher and assessment organisation proudly affiliated with the prestigious university of cambridge. we are looking for an automation engineer to join our automation team.

as a key member of our team, your goal will be to design, build and run re-usable rpa components, primarily on the uipath platform. you would get exposure to our automation & orchestration platforms i.e. uipath, appian and mulesoft anypoint platform, and help ensure best practices for automation engineering are up to date and adhered. why cambridge?

cambridge university press & assessment is a world-renowned not-for-profit academic publisher and assessment organisation, proudly part of the prestigious university of cambridge. with a legacy rooted in over 800 years of educational excellence, we are dedicated to unlocking the potential of learners and educators across the globe. joining cambridge's second largest global office in the philippines —operating for over 22 years with 1,300+ colleagues— means becoming a part of an extraordinary institution renowned worldwide.

we are recognised as a great place to

work for three consecutive years, reflecting our inclusive culture, strong sense of purpose, and commitment to the professional growth and well-being of our people. at cambridge, we don't just publish books or deliver tests—we empower progress, inspire curiosity, and champion the pursuit of knowledge. what can you get from cambridge?

at cambridge, you'll become a part of a vibrant and forward-thinking community that transcends tradition, fostering a culture of continuous growth and personal development. here, we provide the right environment for you to thrive, supporting your professional journey and empowering you to reach your highest potential, that is why our pay philosophy is intricately tied to your skills and competencies, ensuring that your compensation aligns with the unique value you bring to the role you are applying for. the organization offers a wide range of benefits and opportunities including:regular employment on day 1hmo coverage and life insurance on day 1paid annual leaves (vacation, well-being, flexible, holiday, and volunteering leaves)vesting/retirement package

opportunities for career growth and development

access to well-being programs

flexible schedule, hybrid work arrangement and work-life balance

opportunity to collaborate with colleagues from diverse branches that will expand your horizons and enrich your understanding of different cultures

what will you do as an automation engineer? as an automation engineer, you will be responsible for delivering new automation opportunities and resolving issues raised on our production estate. the automation team aims to improve efficiency and reduce costs, which is critical to our success.

now is an opportune time to join a dynamic, fast-growing team that is shaping and delivering the automation capability. use technical knowledge of rpa platforms to deliver value to the organisation and customers through change initiatives. collaborate with colleagues globally in the uk, manila, and india.

build strong working relationships within a supportive and innovative team. contribute to a small but highly effective group where collaboration, problem-solving, and initiative are appreciated and rewarded. please review the attached job description for further details on the role.

what makes you the ideal candidate for this role? uipath development expertise: 3–4 years of proven development experience using the uipath platform. exposure to the latest ai capabilities within uipath, including document understanding and ai agentsintegration and data skills: strong understanding of rest apis and how they can be used to expose or consume data within an rpa process.

comfortable working with data for research, analysis, and visualisation, and presenting findings to stakeholders. agile ways of

working: proficient in agile methodologies and practices. enjoys responding to evolving challenges and proactively looks for ways to improve team processes. communication and stakeholder engagement: confident in engaging with stakeholders and presenting technical or analytical insights to a variety of audiences.

are you driven by desire to be part of a globally renowned institution that celebrates innovation, embraces inclusion, and empowers learners? then, we invite you to pursue your potential with us. applications received through the system will be reviewed on a rolling basis and may close the vacancy once sufficient applications are received.

therefore, if you are interested, tailor-fit your cv (advantageous if you submit one with a cover letter) and submit as early as possible.


#j-18808-ljbffr",['sis']
Scada Engineer,WHR Global Consulting,"Tarlac City, Central Luzon",,"educational requirements:
bachelor's degree in electrical engineering, electronics and communications engineering, computer engineering, or a related field.
a professional engineer (pe) license is a plus but not always required.
technical skills:
scada system knowledge

expertise in supervisory control and data acquisition (scada) systems used in monitoring and controlling solar power plant operations.
familiarity with scada software (e.g., siemens, schneider electric, ge, or wonderware).
automation and control systems

experience with plc (programmable logic controller) and hmi (human-machine interface) programming.
understanding of distributed control systems (dcs) and remote terminal units (rtus).
communication protocols

knowledge of communication protocols like modbus, opc, iec 61850, dnp3, or tcp/ip.
electrical systems

understanding of electrical systems in solar power plants, including inverters, transformers, and grid connections.
experience with metering and power quality monitoring.
networking

familiarity with networking concepts, including routers, switches, vpns, and cybersecurity for industrial systems.
data analysis

ability to interpret scada data for performance optimization and troubleshooting.
experience:
2–5 years of experience working with scada systems, preferably in the renewable energy sector or similar industries such as power plants like solar power plant.
hands-on experience in the commissioning, maintenance, and troubleshooting of scada systems in solar power plants is highly advantageous.
certifications:
scada-related certifications (e.g., wonderware, siemens, or schneider electric certifications).
networking certifications like ccna (cisco certified network associate) can be an asset.
renewable energy certifications, such as courses in solar pv systems, are a bonus.
must be willing to be 2 year project based employment term.
soft skills:
strong problem-solving and analytical skills.
excellent communication and teamwork abilities for coordinating with multi-disciplinary teams.
willingness to work in tarlac power plant site","['dcs', 'distributed control system', 'hmi', 'human-machine interface', 'modbus', 'plc', 'programmable logic controller', 'sis', 'scada', 'supervisory control and data acquisition']"
Application Automation Engineer,Accenture,"Taguig, Metro Manila",,deliver predictive and intelligent delivery approaches based on automation and analytics. drive the automation of delivery analytics to gather insights from data.,[]
System (Automation) Engineer,"Icontroltech, Inc.","Marikina City, Metro Manila",,"designing and developing robust and efficient industrial automation systems.

programming, configuring, and troubleshooting plc (programmable logic controller) systems for various applications.

developing and implementing plc/scada systems for real-time monitoring and control.

utilizing sql databases for data acquisition, storage, analysis, and reporting related to automation processes.

troubleshoot network connections

engineering design, project working documents, wiring diagrams and others including client manuals, updating drawings to reflect as-built conditions

maintains computer and database

project commissioning","['plc', 'programmable logic controller', 'sis', 'scada']"
Energy Management System Specialist,AboitizPower,"Dumaguete, Negros",,"position summary:this position holder is responsible for the technical and commercial aspect of the energy management system including distributed control systems (dcs) and supervisory control and data acquisition (scada) systems. this includes designing and reviewing contractor design drawings, developing, supervising the installation of equipment which is used to monitor and control energy storage systems, machinery and processes. he/she will ensure that these systems and processes operate effectively, efficiently, safely and in accordance with the contract package.

minimum qualificationsbs electronic and communication engineerlicensed electronic and communication engineer2 years of relevant industry experience in project execution of power or storage.2 years of project experience

competencies:risk managementbudgetingmeeting facilitation

experience and knowledge on electrical and instrumentation systems,battery energy management systems, process control, system dynamics and control systems. knowledge of control disciplines such as advanced process control (apc), distributed control systems (dcs), programmable logic controllers (plc), human machine interface (hmi) and supervisory control and data acquisition (scada) including programming (citech, wonderware, visual c+, rslogic, siemens, orion allen bradley and etc.) and diagnostics, fault identification, troubleshooting, location and resolution.

ladder diagrams design and development

proficient with network communication protocols (bacnet, modbus, modbus tcp, opc, lonworks,tcp/ip, irig-b)proficient with microsoft application (operating system (win 7 or above) , (win 2003 or above) office applications (2003 or above), wrikeexperience on report application programming and development (mssql, mysql, citect historian, report server etc.)please note that this is a project-based role initially for 12 months. extension of employment period is a sole discretion of the company, subject to the individual's approval.


#j-18808-ljbffr","['dcs', 'distributed control system', 'hmi', 'modbus', 'plc', 'programmable logic controller', 'scada', 'supervisory control and data acquisition']"
Automation Engineer (UiPath) - 6290,Cambridge University Press & Assessment,"Manila, Metro Manila",,"work setup: hybrid (open to 2x a week in the office)work schedule: 10am to 6pm manila time when in the office, 3pm to 12am when remote

employment type: permanentlocation: makati city, metro manilapay range: php 60,000 to php 81,000we value transparency and encourage applicants comfortable with this range to apply. discover a world of endless possibilities with cambridge university press & assessment, a distinguished global academic publisher and assessment organisation proudly affiliated with the prestigious university of cambridge. we are looking for an automation engineer to join our automation team.

as a key member of our team, your goal will be to design, build and run re-usable rpa components, primarily on the uipath platform. you would get exposure to our automation & orchestration platforms i.e. uipath, appian and mulesoft anypoint platform, and help ensure best practices for automation engineering are up to date and adhered. why cambridge?

cambridge university press & assessment is a world-renowned not-for-profit academic publisher and assessment organisation, proudly part of the prestigious university of cambridge. with a legacy rooted in over 800 years of educational excellence, we are dedicated to unlocking the potential of learners and educators across the globe. joining cambridge's second largest global office in the philippines —operating for over 22 years with 1,300+ colleagues— means becoming a part of an extraordinary institution renowned worldwide.

we are recognised as a great place to

work for three consecutive years, reflecting our inclusive culture, strong sense of purpose, and commitment to the professional growth and well-being of our people. at cambridge, we don't just publish books or deliver tests—we empower progress, inspire curiosity, and champion the pursuit of knowledge. what can you get from cambridge?

at cambridge, you'll become a part of a vibrant and forward-thinking community that transcends tradition, fostering a culture of continuous growth and personal development. here, we provide the right environment for you to thrive, supporting your professional journey and empowering you to reach your highest potential, that is why our pay philosophy is intricately tied to your skills and competencies, ensuring that your compensation aligns with the unique value you bring to the role you are applying for. the organization offers a wide range of benefits and opportunities including:regular employment on day 1hmo coverage and life insurance on day 1paid annual leaves (vacation, well-being, flexible, holiday, and volunteering leaves)vesting/retirement package

opportunities for career growth and development

access to well-being programs

flexible schedule, hybrid work arrangement and work-life balance

opportunity to collaborate with colleagues from diverse branches that will expand your horizons and enrich your understanding of different cultures

what will you do as an automation engineer? as an automation engineer, you will be responsible for delivering new automation opportunities and resolving issues raised on our production estate. the automation team aims to improve efficiency and reduce costs, which is critical to our success.

now is an opportune time to join a dynamic, fast-growing team that is shaping and delivering the automation capability. use technical knowledge of rpa platforms to deliver value to the organisation and customers through change initiatives. collaborate with colleagues globally in the uk, manila, and india.

build strong working relationships within a supportive and innovative team. contribute to a small but highly effective group where collaboration, problem-solving, and initiative are appreciated and rewarded. please review the attached job description for further details on the role.

what makes you the ideal candidate for this role? uipath development expertise: 3–4 years of proven development experience using the uipath platform. exposure to the latest ai capabilities within uipath, including document understanding and ai agentsintegration and data skills: strong understanding of rest apis and how they can be used to expose or consume data within an rpa process.

comfortable working with data for research, analysis, and visualisation, and presenting findings to stakeholders. agile ways of

working: proficient in agile methodologies and practices. enjoys responding to evolving challenges and proactively looks for ways to improve team processes. communication and stakeholder engagement: confident in engaging with stakeholders and presenting technical or analytical insights to a variety of audiences.

are you driven by desire to be part of a globally renowned institution that celebrates innovation, embraces inclusion, and empowers learners? then, we invite you to pursue your potential with us. applications received through the system will be reviewed on a rolling basis and may close the vacancy once sufficient applications are received.

therefore, if you are interested, tailor-fit your cv (advantageous if you submit one with a cover letter) and submit as early as possible.


#j-18808-ljbffr",['sis']
Senior Test Automation Engineer - Makati,Avaloq,"Makati City, Metro Manila",,"senior test automation engineer - makati company descriptionfounded and headquartered in switzerland, avaloq is continuously expanding its global footprint with around 2,500 colleagues in 10 countries, and more than 160 clients in 35 countries. we are an industry-leading provider of wealth management technology and services for financial institutions around the world, including private banks and wealth managers, investment managers, as well as retail and neo banks. our research led approach and continual innovation is powered by the passion and creativity of our colleagues.

we are always looking for talented people to join us on our mission to orchestrate the financial ecosystem and democratize access to wealth management. avaloq offers the opportunity to work closely with some of the world’s leading financial institutions as we jointly develop and shape careers. championing a collaborative, supportive and flexible work environment empowers our colleagues to reach their full potential.

 job descriptionas a member of the avaloq test automation team, you will be part of a group of highly skilled, motivated and dynamic people that are responsible for a central part of the avaloq banking suite. you will be part of the team responsible for automation and innovation of test for the avaloq solution used by banks in the swiss market.  as a test automation engineer, you will work in close cooperation with test managers, developers, release managers and other key stakeholders with the objective to deliver high-quality automation solutions that meet customer needs and requirements.

your key tasks

give hands-on support to the team with the implementation of the software testing process, e.g. for dedicated testing levels and / on test types

define test cases and scenarios for new functionalities

support the team in their day to day work with test management tools

participate in the creation of new concepts in automated testing and testing strategies

develop, maintain and execute automated tests using avaloq test framework, java, testmaster, cypress, and more automation tools

understand the avaloq core and front banking platform and the corresponding business areas qualificationscandidate must possess at least a bachelor's degree in computer science, information technology or equivalent

must have 5+ years of work experience in software developer or test automation engineer role

has firm understanding of the testing processes and methodologies

experience with one or more general purpose programming languages including but not limited to: java, javascriptknowledge of programming languages such as pl/sql, avaloq scriptquality-conscious attitude, self-motivated and goal-oriented

open-minded and a good team player

very good communication skills (proficient in english verbally and in writing)keen interest in banking and/or wealth management business

you will get extra points for the following:proven experience on manual or automated testing

knowledge in oracle database architecture

experience with orbium’s testmaster and/or avaloq banking system is/are a big plus

experience in automation tools like cypress, appium, jestexperience with performance testing tool (gatlin, loadrunner, jmeter)experience with angular, ngrx, rxjs operators, typescriptexperience with javaee, spring bootbanking know-howistqb certification additional informationwe realize that managing work life balance is a challenge we all face in our daily lives and in order to support with this we are pleased to offer hybrid and flexible working for most of our avaloqers to maintain work life balance and still continue our fantastic avaloq culture in our global offices.  in avaloq we are proud to embrace diversity and understand the success of our business is built on the power of different opinions, we are whole heartedly committed to fostering an equal opportunity environment and inclusive culture where you can be your true authentic self.  we hire, compensate and promote regardless of origin, age, gender identity, sexual orientation or any other fantastic traits that make us all unique, we have done our best to write this advert in an inclusive and neutral way.

 please be aware that we will not accept speculative cv submissions for any of our roles from recruitment agencies, and any unsolicited candidate submissions will be exempt from any payment expectations.",[]
Robotic Process Automation Engineer,,"Makati City, Metro Manila",,"key responsibilities
1. automation implementation: design, develop, and implement automated workflows and solutions using make.com to streamline and enhance business processes across departments.

2. project management: oversee and manage various automation and digital transformation projects. coordinate with stakeholders to define project requirements, timelines, and deliverables.

3. digital infrastructure: build and maintain the company’s digital infrastructure using aws services. ensure the reliability, scalability, and security of digital solutions.

4. workflow optimization: utilize monday.com to create and optimize workflows that improve efficiency and collaboration among departments. customize and automate tasks to align with departmental needs.

5. innovation and change: drive initiatives that support the company’s change transformation and innovation objectives. identify and propose new technologies and processes that can benefit the organization.

6. collaboration: work closely with it, finance, operations, and other departments to understand their needs and develop automation solutions that address their specific challenges.

7. monitoring and support: monitor the performance of implemented solutions, provide ongoing support, and make adjustments as necessary to ensure optimal functionality and effectiveness.

bachelor’s degree in:

information technology

computer science

engineering (e.g., computer, electronics, systems)

or a related technical field

work experience
2–5 years of experience in:

workflow automation or business process automation

project management or systems implementation

it, devops, or cloud infrastructure roles

robotic process automation (rpa) is an absolute must.


job type: full-time

pay: php49,000.00 per month

benefits:

promotion to permanent employee

ability to commute/relocate:

baguio: reliably commute or planning to relocate before starting work (required)

education:

bachelor's (required)

willingness to travel:

100% (required)

work location: in person",[]
Plant Engineer - Mechatronics,Coca-Cola Europacific Aboitiz Philippines,Central Luzon,,"the plant engineer – mechatronics is responsible in providing specialist technical support and diagnostic for the plant’s line equipment. the role is also responsible for the troubleshooting and execution of maintenance either preventive or corrective for the plant’s line equipment.

key responsibilities
1. operations
• provide 2nd level maintenance support to line equipment in the event of equipment failures.
• conducts health checks or diagnostics on line equipment capability vs. performance to determine the necessary adjustment and maintenance required
• validates the performance acceptance test on new line equipment
• manage backup lists of mechanical settings and parameters of line equipment according to specialization
• conducts verification of maintenance effectiveness for the line equipment
• performs monitoring and filled in all relevant log sheets and immediately feedback superior for any observed parameter deviation
2. maintenance execution
• execute planned, corrective, break-in work , condition based and predictive maintenance

• perform fault-finding and a structured break down analysis on failed components
• carry out new project/equipment installations within expected time frames when assigned

position requirements:

• at least 2 years of work experience in mechatronics/line technician related position in a food manufacturing industry or fmcg

• fresh graduate are welcome to apply
• graduate of any electronics/electrical/mechanical/mechatronics engineering or any related technology & engineering field
• basic knowledge on electrical and machine safety
• basic knowledge on project management
• with experienced in handling improvement projects
• experience in process engineering
o work request process
o work order cycle process
• proficiency with microsoft office applications
• with basic knowledge on rca tools: 5 whys and bda
classified as confidential. please do not forward this to unintended users. otherwise, request necessary permission.
• with basic understanding of hira (hazard identification and risk assessment)
• advantage but not required if registered master electrician/electronics technician/electronics engineer/electrical engineer/mechanical engineer
• advantage but not required with ncii certifications on welding and machining",['sis']
Automation Engineer,Acbel PolyTech,"Calamba City, Calabarzon",,"about the role

join acbel polytech (phils.), inc. as an automation engineer. in this full-time position located in calamba city, laguna, you will play a pivotal role in driving the company's automation initiatives and ensuring the smooth operation of its manufacturing processes.

what you'll be doing

respond to production concerns related to machine faults, control errors, or system breakdowns

perform troubleshooting and basic repairs of automation systems, sensors, and control elements

assist in the diagnosis of recurring automation issues and implement corrective actions

execute scheduled preventive maintenance tasks on automation equipment

assist in preparing maintenance procedures and documentation for machines and control systems

coordinate with maintenance and production teams for timely corrective maintenance activities

maintain logs and records of system issues, repairs, and actions taken

update wiring diagrams, i/o checklists, machine manuals, and control system documentation as changes occur

contribute to the development of automation strategies and roadmaps to support the company's growth

what we're looking for

bachelor's degree in mechatronics, instrumentation, electrical/electronic engineering or a related field

3+ years of experience in automation engineering within manufacturing company, with a strong understanding of plc and industrial control systems

proficient in programming and troubleshooting automation software

excellent problem-solving, analytical, and critical-thinking skills

strong communication and collaboration abilities to work effectively with cross-functional teams

familiarity with manufacturing processes and a keen eye for process optimization

what we offer
at acbel polytech (phils.), inc., we strive to create a supportive and rewarding work environment for our team members. we provide various benefits such as health insurance, retirement plans, and opportunities for professional development and training.

no recruitment fee. no processing fee. no onboarding fee.","['plc', 'sis']"
