Role of Job,Company Name,Company Location,Type of Work,Description
Quality Control (QC) Process Engineer,Miyasaka Polymer,"Cabuyao, Calabarzon",N/A,"job qualifications:

must be a graduate of bachelor of science in industrial engineering.

computer literate.

preferably with experience (at least 1 year) in the same field in a rubber industry.

job responsibilities:

will be in-charge at quality for 2nd process.

conduct verification of quality of products and evaluates the results.

responsible in the identification of abnormal condition, its changepoints and ensures implementation of the corresponding controls.

promote ""early detection"" of quality of all qc process.

promote continuous improvement through kaizen ideas specifically in productivity improvement.

genba checking to check compliance to the procedures/rules."
Instrumentation and Process Control Engineer,Pilmico Foods Corporation,"Bamban, Central Luzon",N/A,"company description


aboitiz foods is an integrated regional food and agribusiness company dedicated to creating a high-performance culture anchored on our time-honored values of integrity, teamwork, innovation, and responsibility. through the collective strengths of our subsidiaries, pilmico and gold coin, we believe in sustainably feeding asia’s growth from mill to meal. 

we are constantly improving and optimizing our processes by integrating the value chain around asia. we leverage our sector expertise and capabilities to deliver quality every time. with our world-class technology and culture of constant innovation, we devote ourselves to serving you better.

at aboitiz foods, we embrace change and inspire innovation, leading the way in food and agribusiness solutions. join us as we shape the future of food in asia and build a culture where, together, we nourish the future.

job description


the process control and instrumentation technician is responsible for maintaining and troubleshooting process control and instrumentation systems ensuring the reliability of all process controllers and instruments and software application critical to plant operations.

the process control and instrumentation technician contributes a critical role in the plant by ensuring all equipment in the plant is reliable, available and safe to use at all times.

maintains and troubleshoots process controllers ensuring optimal performance and ensuring the efficient running and prolong service life of the machines and equipment.

maintains and troubleshoots measuring instruments ensuring accuracy of reading. 

maintains and troubleshoots communications equipment ensuring that these are continuously online.

calibrates all plant electronic control and measuring equipment ensuring that measuring and monitoring devices remain reliable and that these conform to iso requirements.

debugs and configures scada software applications and ensures that problems detected do not recur.

troubleshoots and performs reprogramming of programmable logic controller (plc) system as maybe required.

assists in the monitoring of electrical control circuits and performs electrical troubleshooting during wheat unloading and ensuring that minor electrical troubles are immediately detected and addressed. 

monitors electro-pneumatic equipment and performs electro-pneumatic troubleshooting ensuring that these are running smoothly and minor troubles are immediately detected and addressed.

installs and configures instrumentation and control devices and ensures that installation and configuration are in accordance with the instrument manual.

starts up and commissions instrumentation and control systems ensuring that these conform to requirements set by process owners and that plant automation systems remain reliable.

maintains communication facilities, both software and hardware, ensuring that communication problems are immediately detected and addressed and that communication lines with external contacts are always online.

attends to emergency and night calls when needed.

food safety:

ensures execution of quality, halal, health and food safety policy, standards and regulations within the team. 

responsible for reporting problems related to halal, food safety & quality management system to identified authorities.

sap system:

implementation of the sap enterprise asset management system (sap eam), ensuring optimum utilization of the system.

regular accomplishment of work orders gathered in sap.

ensure sap eam data are reliable for the formulation appropriate enhancement on the maintenance process and the system itself.

other tasks:

actively participate in all company programs and activities under quality improvement, safety & security, sustainability, corporate social responsibility,  risk management etc. 

performs other tasks related to the job as may be assigned by the immediate superior.

qualifications


education:

 electronics or electrical engineering graduate or equivalent (instrumentation and control engineering, industrial instrumentation, electronics or related course graduate)

experience:

with at least 2 year experience working on process control and instrumentation operation and maintenance

with a strong background in plc and scada/hmi.

license/s: 

licensed engineer is an advantage but not required"
Control and Instrumentation Specialist,AboitizPower,"Cebu City, Central Visayas",N/A,"direct message the job poster from aboitizpowerwe are seeking a control and instrumentation (c&i) specialist who will be responsible for driving continuous improvement, providing expert day-to-day guidance, and ensuring optimal performance of our distributed control systems (dcs), supervisory control and data acquisition (scada), and other plant control and instrumentation systems across our combined power plant assets. in this role, you will:deliver technical support for c&i systems during plant overhauls, outages, and emergency situations. assist in optimizing maintenance strategies, from preventive to predictive approaches.

conduct root cause analysis (rca) and corrective action reports (car) to address issues affecting plant flexibility and reliability. propose, implement, and monitor plant improvement initiatives. support management of change processes for c&i systems.

qualificationseducation: bachelor’s degree in electronics, electrical, instrumentation, automation, or equivalent from an accredited institution. professional license: prc-licensed electronics engineer (ece) or registered electrical engineer (ree), or equivalent. experience: at least 3 years of hands-on experience in dcs, c&i, and operational technology (ot) systems.

project & leadership: no prior leadership or project management experience required—technical expertise is key. seniority level

seniority level

mid-senior level

employment type

employment type

full-time

job functionindustriesutilities and electric power generationreferrals increase your chances of interviewing at aboitizpower by 2xget notified about new instrumentation specialist jobs in cebu, central visayas, philippines.we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Quality Control (QC) Process Engineer,Miyasaka Polymer,"Cabuyao, Calabarzon",N/A,"job qualifications:

must be a graduate of bachelor of science in industrial engineering.

computer literate.

preferably with experience (at least 1 year) in the same field in a rubber industry.

job responsibilities:

will be in-charge at quality for 2nd process.

conduct verification of quality of products and evaluates the results.

responsible in the identification of abnormal condition, its changepoints and ensures implementation of the corresponding controls.

promote ""early detection"" of quality of all qc process.

promote continuous improvement through kaizen ideas specifically in productivity improvement.

genba checking to check compliance to the procedures/rules."
Senior - Lead Control Systems Engineer; Manila,ECG Engineering,"Manila, Metro Manila",N/A,"ecg engineering are leaders in the electrical engineering space, delivering design and project delivery services to the mining, utilities, materials handling and industrial sectors with extensive and proven capabilities in australia, and around the world.   
 
  with offices in perth, brisbane, toronto,  manila & dar es salaam, tanzania, ecg have the capability to design and deliver on complex projects, from early study work to commissioning and handover, drawing on the expertise of senior ecg personnel who have worked together for 30 + years.
 
we require a senior or lead level control systems engineer to join our manilla based design team, contributing & coordinating design on a range of mineral processing related electrical projects, and studies, ranging from detail design and technical reports to client, to full blown studies on remote mining plant design and upgrade.
 
key requirements
 
have a solid understanding of technical (e, i&c) principals and solid experience in developing and designing the control systems that drive complex industrial plant & assets that our clients own and operate.

relevant engineering degree or equivalent / relevant qualification
experience on working in a specialized electrical / control systems team on front end greenfield and brownfield development projects with complex controls and automation scope
control systems design experience, ideally with exposure to rockwell, emmerson (ge) and schneider
distributed control system (dcs) experience; ideally yokogawa
programmable logic control (plc) ideally rockwell and siemens
scada system experience scitech, citect, simplicity
understand the project development process for juniors / mid-tier miners
can contribute to a meeting; exercises good judgment on how to contribute, collaborative and execute on technical reports – projects
  
 from planning, designing, executing and commissioning new control systems and software, to providing our mining and energy clients with operations support, ecg engineering's controls systems group, led by dean adderley can provide a technically challenging, diverse and fulfilling career.
 
   the roles are manilla based, working with an established controls team, however there may be occasional input on the studies and reports of our toronto office, as well as the coordination of works from our engineering office in perth.
 
to be considered for the ecg controls group, you need solid control systems experience on complex high value resource & energy projects, with an understanding of the differences between pilbara based projects, and the realities of offshore remote mining plant construction and operations: (think africa).
 
ecg engineering offers a generous remuneration package, plus the opportunity to join an engineering firm with a workplace culture second to none.
 
if this sounds like the opportunity for you, apply via link below.
  
if you have work references from anyone in lycopodium, or ecg, this will be an advantage.
additional information
specialized electrical consultancy, global projects
workplace with winning culture
diverse clientele across resources / energy / renewables"
PLC Programmer,SABPPTECH SERVICES INCORPORATED,"Santo Tomas, Calabarzon",N/A,"join to apply for the plc programmer role at sabpptech services incorporated3 days ago be among the first 25 applicants

join to apply for the plc programmer role at sabpptech services incorporatedbachelor’s degree in electronics engineering, electrical engineering, mechatronics, instrumentation & control, or a related field.at least 2-3 years of experience in plc programming and automation

willing to travel or work on-site for commissioning as needed

proficiency with one or more plc platforms

strong understanding of electrical controls, censors, and safety systems.qualificationsbachelor’s degree in electronics engineering, electrical engineering, mechatronics, instrumentation & control, or a related field.at least 2-3 years of experience in plc programming and automation

willing to travel or work on-site for commissioning as needed

proficiency with one or more plc platforms

strong understanding of electrical controls, censors, and safety systems.key responsibilitiesdesign, develop, test, and implement plc programs

troubleshoot and optimize control systems for reliability and performance.collaborate with project teams to analyze automation needs and propose appropriate solutions.conduct on-site commissioning, start-up, and support for automated systems

support the preventive and corrective maintenance of automation systems.seniority level

seniority level

entry level

employment type

employment type

full-time

job function

job function

engineering and information technologyindustriesoutsourcing and offshoring consultingreferrals increase your chances of interviewing at sabpptech services incorporated by 2xget notified about new plc programmer jobs in santo tomas, calabarzon, philippines.muntinlupa city, national capital region, philippines 1 week ago

muntinlupa city, national capital region, philippines 1 month ago

muntinlupa city, national capital region, philippines 3 days ago

web developer - permanent work from homemuntinlupa city, national capital region, philippines 2 days ago

muntinlupa city, national capital region, philippines 6 days ago

cabuyao, calabarzon, philippines 1 month ago

muntinlupa city, national capital region, philippines 1 week ago

muntinlupa city, national capital region, philippines 5 days ago

muntinlupa city, national capital region, philippines 1 week agodevops web developer - non voice (work from home)muntinlupa city, national capital region, philippines 4 months ago

muntinlupa city, national capital region, philippines 6 days ago

muntinlupa city, national capital region, philippines 9 months ago

muntinlupa city, national capital region, philippines 6 days ago

muntinlupa city, national capital region, philippines 2 months ago

muntinlupa city, national capital region, philippines 4 hours ago

we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Control and Instrumentation Specialist,AboitizPower,"Cebu City, Central Visayas",N/A,"direct message the job poster from aboitizpowerwe are seeking a control and instrumentation (c&i) specialist who will be responsible for driving continuous improvement, providing expert day-to-day guidance, and ensuring optimal performance of our distributed control systems (dcs), supervisory control and data acquisition (scada), and other plant control and instrumentation systems across our combined power plant assets. in this role, you will:deliver technical support for c&i systems during plant overhauls, outages, and emergency situations. assist in optimizing maintenance strategies, from preventive to predictive approaches.

conduct root cause analysis (rca) and corrective action reports (car) to address issues affecting plant flexibility and reliability. propose, implement, and monitor plant improvement initiatives. support management of change processes for c&i systems.

qualificationseducation: bachelor’s degree in electronics, electrical, instrumentation, automation, or equivalent from an accredited institution. professional license: prc-licensed electronics engineer (ece) or registered electrical engineer (ree), or equivalent. experience: at least 3 years of hands-on experience in dcs, c&i, and operational technology (ot) systems.

project & leadership: no prior leadership or project management experience required—technical expertise is key. seniority level

seniority level

mid-senior level

employment type

employment type

full-time

job functionindustriesutilities and electric power generationreferrals increase your chances of interviewing at aboitizpower by 2xget notified about new instrumentation specialist jobs in cebu, central visayas, philippines.we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Instrumentation and Process Control Engineer,Aboitiz Foods,"Bamban, Central Luzon",N/A,"company descriptionaboitiz foods is an integrated regional food and agribusiness company dedicated to creating a high-performance culture anchored on our time-honored values of integrity, teamwork, innovation, and responsibility. through the collective strengths of our subsidiaries, pilmico and gold coin, we believe in sustainably feeding asia’s growth from mill to meal. we are constantly improving and optimizing our processes by integrating the value chain around asia.

we leverage our sector expertise and capabilities to deliver quality every time. with our world-class technology and culture of constant innovation, we devote ourselves to serving you better. at aboitiz foods, we embrace change and inspire innovation, leading the way in food and agribusiness solutions.

join us as we shape the future of food in asia and build a culture where, together, we nourish the future. job descriptionthe process control and instrumentation technician is responsible for maintaining and troubleshooting process control and instrumentation systems ensuring the reliability of all process controllers and instruments and software application critical to plant operations. the process control and instrumentation technician contributes a critical role in the plant by ensuring all equipment in the plant is reliable, available and safe to use at all times.

maintains and troubleshoots process controllers ensuring optimal performance and ensuring the efficient running and prolong service life of the machines and equipment. maintains and troubleshoots measuring instruments ensuring accuracy of reading. maintains and troubleshoots communications equipment ensuring that these are continuously online.

calibrates all plant electronic control and measuring equipment ensuring that measuring and monitoring devices remain reliable and that these conform to iso requirements. debugs and configures scada software applications and ensures that problems detected do not recur. troubleshoots and performs reprogramming of programmable logic controller (plc) system as maybe required.

assists in the monitoring of electrical control circuits and performs electrical troubleshooting during wheat unloading and ensuring that minor electrical troubles are immediately detected and addressed. monitors electro-pneumatic equipment and performs electro-pneumatic troubleshooting ensuring that these are running smoothly and minor troubles are immediately detected and addressed. installs and configures instrumentation and control devices and ensures that installation and configuration are in accordance with the instrument manual.

starts up and commissions instrumentation and control systems ensuring that these conform to requirements set by process owners and that plant automation systems remain reliable. maintains communication facilities, both software and hardware, ensuring that communication problems are immediately detected and addressed and that communication lines with external contacts are always online. attends to emergency and night calls when needed.

food safetyensures execution of quality, halal, health and food safety policy, standards and regulations within the team. responsible for reporting problems related to halal, food safety & quality management system to identified authorities. sap systemimplementation of the sap enterprise asset management system (sap eam), ensuring optimum utilization of the system.

regular accomplishment of work orders gathered in sap.ensure sap eam data are reliable for the formulation appropriate enhancement on the maintenance process and the system itself. other tasksactively participate in all company programs and activities under quality improvement, safety & security, sustainability, corporate social responsibility, risk management etc. performs other tasks related to the job as may be assigned by the immediate superior.

qualificationseducation:electronics or electrical engineering graduate or equivalent (instrumentation and control engineering, industrial instrumentation, electronics or related course graduate)experiencewith at least 2 year experience working on process control and instrumentation operation and maintenancewith a strong background in plc and scada/hmi.license/slicensed engineer is an advantage but not required


#j-18808-ljbffr"
Project Control Systems Design Engineer,Aggreko,"Manila, Metro Manila",N/A,"we're the global leader in providing energy solutions that help businesses grow and communities thrive. we work as a team and we’re proud of the difference we make to customers, to local communities, and towards a sustainable future for the world. we’re looking for askilled and passionate control systems design engineer with expertise in renewable energy and hybrid system design to join our high-calibre engineering team in manila.

the successful candidate will be responsible for designing, developing, and implementing advanced control systems that optimize the performance and integration of renewable and hybrid energy solutions. this role requires a strong foundation in control theory, power electronics, and system integration, with a focus on sustainable energy technologies. why aggreko?

here are some of the perks and rewards. innovative projects: be at the forefront of sustainable energy solutions, making a real impact. professional growth: benefit from ongoing training and career development opportunities.

diverse and inclusive team: join a global, collaborative, and supportive work environment. competitive benefits – enjoy market-leading pay, bonuses, and career progression. what you’ll do:design and develop control algorithms and systems for renewable energy sources (solar, wind, etc.) and hybrid power systems.

collaborate with cross-functional teams to integrate control systems with power electronics, energy storage, and grid interfaces. conduct system modeling, simulation, and analysis to validate control strategies and optimize system performance. develop and maintain control system documentation, including specifications, design reports, and test plans.

support hardware-in-the-loop (hil) testing and commissioning of control systems in laboratory and field environments. troubleshoot and resolve control system issues during development, testing, and deployment phases. stay current with industry trends, standards, and emerging technologies in renewable energy and control systems.

provide technical guidance and mentorship to junior engineers and technicians. ensure compliance with safety, quality, and regulatory requirements. you’ll have the following skills and experience:bachelor’s or master’s degree in electrical engineering, control systems engineering, or a related field.

proven experience in control systems design, preferably within renewable energy and hybrid power systems. strong knowledge of control theory, digital signal processing, ip networking, remote access, vlans and embedded systems. experience with simulation tools such as matlab/simulink, pscad, or similar.

experience with codesys, rslogix, schneider plcs, and plantscada / citect. familiarity with power electronics, energy storage systems, and grid interconnection standards. proficiency in programming languages such as c/c++, python, or similar for control algorithm development.

excellent problem-solving skills and ability to work independently and in a team environment. strong communication skills for technical documentation and cross-team collaboration. preferred:hands-on experience with control systems engineering and renewable energy technologies (solar pv, wind turbines, battery energy storage).

experience designing, programming and operating hybrid systems combining multiple energy sources. knowledge of australian industry standards and certifications related to renewable energy and control systems. experience with real-time control platforms and hardware-in-the-loop testing.

if you’re ready to take your career to the next level and contribute to a more sustainable future, we’d love to hear from you! apply today and be part of the change. join us.

bring your energy. grow your career. #li-mp1equal employment opportunitywe welcome people from different backgrounds and cultures, and respect people’s unique skills, attitudes and experiences.

we encourage everyone to be themselves at work because we know that’s how we do our best, for each other, for our customers, for the communities where we work, and for our careers. we are an equal opportunity employer. if you apply for a role at aggreko, we will consider your application based on your qualifications and experience, and not on your race, colour, ethnicity, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status.


#j-18808-ljbffr"
Control & Instrumentation Engineer Tarlac & Calatrava Philippines Published on 2024-08-16,AFRY,"Tarlac City, Central Luzon",N/A,"responsibilities:preparation of minimum technical specifications for control systems (scada) and substation protection for renewable generating plants (solar, wind, biomass) for procurement purposes. undertaking bid evaluations and leading technical negotiations prior to award of equipment supply contracts. prepare detailed design on

i/o list, instrument cable routing, cable schedule, and equipment arrangement. review of epc design documents and commenting on key drawings such as control system architecture, control cable specifications, weather station instruments, cable routing, panel diagrams. qualifications and requirements:candidate must possess at least bachelor's/college degree, professional license (passed board/bar/professional license exam) in electrical engineering, control & instrumentation engineering or equivalent.

minimum of 5 years experience in design and engineering of control and instrumentation. proven experience in an epc or epcm environment undertaking preparation of tender specifications, preparation of plant control and operation philosophies, bid evaluations, vendor drawing review as well as proven ability in detailed engineering. good overall knowledge of solar power plants including their systems.

experience in autocad 3d package is an advantage. good command of english and excellent communication skills. excellent interpersonal and leadership skills with the ability to work in a multinational project team.

familiar with ngcp scada requirements and testing procedures. company descriptionafry is one of the largest international power sector consulting and engineering companies with about 19,000 experts working across the world to create sustainable solutions for future generations. in south east asia, we are a leading power sector consulting engineering company executing our regional consultancy and engineering assignments from our power sector consulting offices in bangkok, jakarta, kuala lumpur, manila, hanoi, singapore, pune, noida and taipei.

in total, we have a multinational staff of more than 500 working in the power generation field in asia. in the philippines, we have a focus on energy with over 100 employees working on local and international projects for the last 20 years. additional informationafry is committed to creating an inclusive & diverse environment and we are actively looking for qualified candidates irrespective of gender, gender identity, sexual orientation, ethnicity, religion, disability, or age.

you will be part of a global and diverse company where our differences are our strengths. join us to accelerate the transition towards a sustainable society. at afry, we engineer change in everything we do.

change happens when brave ideas come together. when we collaborate, innovate technology, and embrace challenging points of view. that’s how we're making future.

we are actively looking for qualified candidates to join our inclusive and diverse teams across the globe. join us in accelerating the transition towards a sustainable future.


#j-18808-ljbffr"
