Role of Job,Company Name,Company Location,Type of Work,Description
Instrumentation and Control Engineer,"Maynilad Water Services, Inc.","Muntinlupa, Metro Manila",N/A,"major responsibilities

1. leads and applies chemicals like aluminum chlorohydrate, sodium hypochlorite, liquid chlorine, citric acid, caustic soda, potassium permangate etc.

2. performs the duties of a wso officer and / or assists the wso officer as needed.

3. operates and monitors the supervisory control and data acquisition (scada) system.

4. monitors hourly treatment chemical consumption to ensure chemical feed rates correspond to the recommended dosage and flow of raw water less the leaks and losses for accurate treatment and efficient results of water quality.

5. inspects, receives and records treatment chemical deliveries together with the warehouse representative during the shift and update stock balance.

6. records and reports major defects for immediate repair.

7. maintains cleanliness and orderliness of workstation, dosing equipment and appurtenances including tools used such as pliers, wrenches, vise grip, chlorine special tool, breathing apparatus, etc. for workers and visitor safely.

8. reports and follow-up on some improvements like overseeing the accuracy of accepting chemical deliveries, improving chemical handling and application techniques and equipment and facilities performance monitoring.

9. ensures that all uf-ro membranes are cleaned regularly in order to maintain the recommended differential pressure.

10. performs regular backwashing of baf in order to maintain the recommended baf bottom pressure.

11. determines the number of aerated baf cells in order to maintain recommended level of ammonia reduction.

12. calculates the recommended chemical dosing to maintain the required level of operational controls and maintains the level of production as recommended by supply and pressure management.

13. prepares the monthly management report to be submitted to wp head - south.

14. implements integrated management system’s programs, activities, procedures and policies

15. does other related tasks as may be assigned

qualifications and competency requirements

minimum education

graduate of any engineering course preferably in chemical, instrumentation or mechanical

must be a licensed engineer

work experience

preferably with one to three years of related work experience

knowledge, skills, and abilities

computer skills (ms office)

written and verbal communication skills

interpersonal skills

analytical skills

personal attributes/attitudes

willing to work additional hours in order to meet targets and tight deadlines

with high customer service orientation

results-driven and proactive

can work with minimal supervision

can work under pressure

with pleasing personality

capable and willing to go on shifts

workplace resources and environment

equipment/software used

computer

ms office

scada

working conditions and occupational hazards

exposed to weather and field conditions during regular rounds of treatment plant facilities

always on call"
PCS Instrumentation and Controls Engineer – Design & Construction,RCX Recruitment,"Manila, Metro Manila",N/A,"we are a leading design and construction company specializing in providing innovative engineering solutions for large-scale projects. our areas of expertise include civil, structural, electrical, process, piping, and tankage systems, delivering high-quality designs and project management services across the construction and industrial sectors. we are looking for a highly skilled instrumentation and controls engineer to join our growing team. this position is ideal for engineers with a strong background in designing and developing control and instrumentation systems for construction and infrastructure projects. ・lead and manage the design of instrumentation and control systems for construction projects ・develop and prepare control, operation, and monitoring plans to ensure system efficiency ・create control function specifications, control system diagrams, and alarm item lists ・design and configure input/output signal lists and system setups for large-scale construction projects ・prepare control panel layouts, wiring diagrams, and manufacturer drawings for control systems ・specify instrumentation equipment, including control valves, flow meters, temperature sensors, and safety instruments ・coordinate with internal design teams, construction managers, contractors, and on-site personnel to ensure smooth project execution ・collaborate with multidisciplinary teams in civil, structural, electrical, process, piping, and tankage engineering to develop integrated solutions for complex construction projects ・manage projects from initial design to delivery, ensuring adherence to project schedules and budgets

・bachelor’s degree in electrical engineering or electronics communication engineering ・proven experience in designing instrumentation and control systems for construction or infrastructure projects ・strong understanding of control system configuration and instrumentation equipment ・proficiency in english and japanese (preferred) ・experience with microsoft office (word, excel), autocad, and ms visio ・strong teamwork, communication, and project management skills ・ability to work across multiple engineering disciplines and collaborate effectively

benefits & conditions


benefits


-government contributions (sss, philhealth, pag-ibig) -13th month pay -health insurance (hmo) -overtime pay (for overtime work) -annual leave of 27 days -transportation allowance -meal allowance (for 4 hours and above ot) ＊additional details will be discussed during the interview or offer stage

working hour


7:30 ~

holiday


saturdays sundays philippine holidays"
Control & Instrumentation Engineer Tarlac & Calatrava Philippines Published on 2024-08-16,AFRY,"Tarlac City, Central Luzon",N/A,"responsibilities:preparation of minimum technical specifications for control systems (scada) and substation protection for renewable generating plants (solar, wind, biomass) for procurement purposes. undertaking bid evaluations and leading technical negotiations prior to award of equipment supply contracts. prepare detailed design on

i/o list, instrument cable routing, cable schedule, and equipment arrangement. review of epc design documents and commenting on key drawings such as control system architecture, control cable specifications, weather station instruments, cable routing, panel diagrams. qualifications and requirements:candidate must possess at least bachelor's/college degree, professional license (passed board/bar/professional license exam) in electrical engineering, control & instrumentation engineering or equivalent.

minimum of 5 years experience in design and engineering of control and instrumentation. proven experience in an epc or epcm environment undertaking preparation of tender specifications, preparation of plant control and operation philosophies, bid evaluations, vendor drawing review as well as proven ability in detailed engineering. good overall knowledge of solar power plants including their systems.

experience in autocad 3d package is an advantage. good command of english and excellent communication skills. excellent interpersonal and leadership skills with the ability to work in a multinational project team.

familiar with ngcp scada requirements and testing procedures. company descriptionafry is one of the largest international power sector consulting and engineering companies with about 19,000 experts working across the world to create sustainable solutions for future generations. in south east asia, we are a leading power sector consulting engineering company executing our regional consultancy and engineering assignments from our power sector consulting offices in bangkok, jakarta, kuala lumpur, manila, hanoi, singapore, pune, noida and taipei.

in total, we have a multinational staff of more than 500 working in the power generation field in asia. in the philippines, we have a focus on energy with over 100 employees working on local and international projects for the last 20 years. additional informationafry is committed to creating an inclusive & diverse environment and we are actively looking for qualified candidates irrespective of gender, gender identity, sexual orientation, ethnicity, religion, disability, or age.

you will be part of a global and diverse company where our differences are our strengths. join us to accelerate the transition towards a sustainable society. at afry, we engineer change in everything we do.

change happens when brave ideas come together. when we collaborate, innovate technology, and embrace challenging points of view. that’s how we're making future.

we are actively looking for qualified candidates to join our inclusive and diverse teams across the globe. join us in accelerating the transition towards a sustainable future.


#j-18808-ljbffr"
Control & Instrumentation Engineer,AFRY,"Calatrava, Negros",N/A,"company descriptionafry is one of the largest international power sector consulting and engineering companies with about 19,000 experts working across the world to create sustainable solutions for future generations. in south east asia, we are a leading power sector consulting engineering company executing our regional consultancy and engineering assignments from our offices in bangkok, jakarta, kuala lumpur, manila, hanoi, singapore, pune, noida, and taipei. our multinational staff of more than 500 works in the power generation field in asia.

in the philippines, we focus on energy, with over 100 employees working on local and international projects for the last 20 years. job descriptionpreparation of minimum technical specifications for control systems (scada) and substation protection for renewable generating plants (solar, wind, biomass) for procurement purposes. undertaking bid evaluations and leading technical negotiations prior to award of equipment supply contracts.

prepare detailed design on i/o list, instrument cable routing, cable schedule, and equipment arrangement. review of epc design documents and commenting on key drawings such as control system architecture, control cable specifications, weather station instruments, cable routing, panel diagrams.

qualifications and requirementscandidate must possess at least a bachelor's/college degree, professional license (passed board/bar/professional license exam) in electrical engineering, control & instrumentation engineering, or equivalent. minimum of 5 years experience in design and engineering of control and instrumentation. proven experience in an epc or epcm environment undertaking preparation of tender specifications, plant control and operation philosophies, bid evaluations, vendor drawing review, and detailed engineering.

good overall knowledge of solar power plants and their systems. experience in autocad 3d package is an advantage. good command of english and excellent communication skills.

excellent interpersonal and leadership skills with the ability to work in a multinational project team. familiarity with ngcp scada requirements and testing procedures. additional informationafry is committed to creating an inclusive and diverse environment.

we are actively seeking qualified candidates regardless of gender, gender identity, sexual orientation, ethnicity, religion, disability, or age. join us to accelerate the transition towards a sustainable society. at afry, we engineer change in everything we do.

change happens when brave ideas come together. when we collaborate, innovate technology, and embrace challenging points of view. that’s how we're shaping the future.

we are looking for qualified candidates to join our inclusive and diverse teams worldwide. join us in accelerating the transition towards a sustainable future.


#j-18808-ljbffr"
Control & Instrumentation Engineer,AFRY,"Calatrava, Negros",N/A,"company description afry is one of the largest international power sector consulting and engineering companies with about 19,000 experts working across the world to create sustainable solutions for future generations. in south east asia, we are a leading power sector consulting engineering company executing our regional consultancy and engineering assignments from our offices in bangkok, jakarta, kuala lumpur, manila, hanoi, singapore, pune, noida, and taipei. our multinational staff of more than 500 works in the power generation field in asia.

in the philippines, we focus on energy, with over 100 employees working on local and international projects for the last 20 years. job description preparation of minimum technical specifications for control systems (scada) and substation protection for renewable generating plants (solar, wind, biomass) for procurement purposes. undertaking bid evaluations and leading technical negotiations prior to award of equipment supply contracts.

prepare detailed design on i/o list, instrument cable routing, cable schedule, and equipment arrangement. review of epc design documents and commenting on key drawings such as control system architecture, control cable specifications, weather station instruments, cable routing, panel diagrams.

qualifications and requirements candidate must possess at least a bachelor's/college degree, professional license (passed board/bar/professional license exam) in electrical engineering, control & instrumentation engineering, or equivalent. minimum of 5 years experience in design and engineering of control and instrumentation. proven experience in an epc or epcm environment undertaking preparation of tender specifications, plant control and operation philosophies, bid evaluations, vendor drawing review, and detailed engineering.

good overall knowledge of solar power plants and their systems. experience in autocad 3d package is an advantage. good command of english and excellent communication skills.

excellent interpersonal and leadership skills with the ability to work in a multinational project team. familiarity with ngcp scada requirements and testing procedures. additional information afry is committed to creating an inclusive and diverse environment.

we are actively seeking qualified candidates regardless of gender, gender identity, sexual orientation, ethnicity, religion, disability, or age. join us to accelerate the transition towards a sustainable society. at afry, we engineer change in everything we do.

change happens when brave ideas come together. when we collaborate, innovate technology, and embrace challenging points of view. that’s how we're shaping the future.

we are looking for qualified candidates to join our inclusive and diverse teams worldwide. join us in accelerating the transition towards a sustainable future. #j-18808-ljbffr"
Control & Instrumentation Engineer,AFRY,"Calatrava, Negros",N/A,"company descriptionafry is one of the largest international power sector consulting and engineering companies with about 19,000 experts working across the world to create sustainable solutions for future generations. in south east asia, we are a leading power sector consulting engineering company executing our regional consultancy and engineering assignments from our offices in bangkok, jakarta, kuala lumpur, manila, hanoi, singapore, pune, noida, and taipei. our multinational staff of more than 500 works in the power generation field in asia.

in the philippines, we focus on energy, with over 100 employees working on local and international projects for the last 20 years. job descriptionpreparation of minimum technical specifications for control systems (scada) and substation protection for renewable generating plants (solar, wind, biomass) for procurement purposes. undertaking bid evaluations and leading technical negotiations prior to award of equipment supply contracts.

prepare detailed design on i/o list, instrument cable routing, cable schedule, and equipment arrangement. review of epc design documents and commenting on key drawings such as control system architecture, control cable specifications, weather station instruments, cable routing, panel diagrams.

qualifications and requirementscandidate must possess at least a bachelor's/college degree, professional license (passed board/bar/professional license exam) in electrical engineering, control & instrumentation engineering, or equivalent. minimum of 5 years experience in design and engineering of control and instrumentation. proven experience in an epc or epcm environment undertaking preparation of tender specifications, plant control and operation philosophies, bid evaluations, vendor drawing review, and detailed engineering.

good overall knowledge of solar power plants and their systems. experience in autocad 3d package is an advantage. good command of english and excellent communication skills.

excellent interpersonal and leadership skills with the ability to work in a multinational project team. familiarity with ngcp scada requirements and testing procedures. additional informationafry is committed to creating an inclusive and diverse environment.

we are actively seeking qualified candidates regardless of gender, gender identity, sexual orientation, ethnicity, religion, disability, or age. join us to accelerate the transition towards a sustainable society. at afry, we engineer change in everything we do.

change happens when brave ideas come together. when we collaborate, innovate technology, and embrace challenging points of view. that’s how we're shaping the future.

we are looking for qualified candidates to join our inclusive and diverse teams worldwide. join us in accelerating the transition towards a sustainable future.


#j-18808-ljbffr"
Automation &Instrumentation Engineer,HR Network,"Muntinlupa, Metro Manila",N/A,"job description:

design/prepare and develop system architecture, electrical equipment functional operation schedule, instrument specifications and a&i equipment lists


prepare and design cable schedules, connection diagrams, and route drawings


review vendor quotations and equipment specs, documentation of boq, request rfq for inquiry to vender and for a&i materials and validation of customer or employer requirement


supervise automation and instrumentation works on-site


collaborate with clients, jv partners, and vendors


fat inspection of equipment and ensure efficient and high-quality plant designs


perform calibration, maintenance, planning, trouble shooting, testing and pre- commissioning and commissioning tasks

qualifications:

bachelor's degree in engineering


3 years of experience in engineering for water treatment plants or similar industries


registered engineer in the philippines


experience with plc/scada/hmi systems and programming


strong understanding of engineering design principles and practices


excellent communication and teamwork skills
"
Instrumentation and Process Control Engineer,Aboitiz Foods,"Bamban, Central Luzon",N/A,"company descriptionaboitiz foods is an integrated regional food and agribusiness company dedicated to creating a high-performance culture anchored on our time-honored values of integrity, teamwork, innovation, and responsibility. through the collective strengths of our subsidiaries, pilmico and gold coin, we believe in sustainably feeding asia’s growth from mill to meal. we are constantly improving and optimizing our processes by integrating the value chain around asia.

we leverage our sector expertise and capabilities to deliver quality every time. with our world-class technology and culture of constant innovation, we devote ourselves to serving you better. at aboitiz foods, we embrace change and inspire innovation, leading the way in food and agribusiness solutions.

join us as we shape the future of food in asia and build a culture where, together, we nourish the future. job descriptionthe process control and instrumentation technician is responsible for maintaining and troubleshooting process control and instrumentation systems ensuring the reliability of all process controllers and instruments and software application critical to plant operations. the process control and instrumentation technician contributes a critical role in the plant by ensuring all equipment in the plant is reliable, available and safe to use at all times.

maintains and troubleshoots process controllers ensuring optimal performance and ensuring the efficient running and prolong service life of the machines and equipment. maintains and troubleshoots measuring instruments ensuring accuracy of reading. maintains and troubleshoots communications equipment ensuring that these are continuously online.

calibrates all plant electronic control and measuring equipment ensuring that measuring and monitoring devices remain reliable and that these conform to iso requirements. debugs and configures scada software applications and ensures that problems detected do not recur. troubleshoots and performs reprogramming of programmable logic controller (plc) system as maybe required.

assists in the monitoring of electrical control circuits and performs electrical troubleshooting during wheat unloading and ensuring that minor electrical troubles are immediately detected and addressed. monitors electro-pneumatic equipment and performs electro-pneumatic troubleshooting ensuring that these are running smoothly and minor troubles are immediately detected and addressed. installs and configures instrumentation and control devices and ensures that installation and configuration are in accordance with the instrument manual.

starts up and commissions instrumentation and control systems ensuring that these conform to requirements set by process owners and that plant automation systems remain reliable. maintains communication facilities, both software and hardware, ensuring that communication problems are immediately detected and addressed and that communication lines with external contacts are always online. attends to emergency and night calls when needed.

food safetyensures execution of quality, halal, health and food safety policy, standards and regulations within the team. responsible for reporting problems related to halal, food safety & quality management system to identified authorities. sap systemimplementation of the sap enterprise asset management system (sap eam), ensuring optimum utilization of the system.

regular accomplishment of work orders gathered in sap.ensure sap eam data are reliable for the formulation appropriate enhancement on the maintenance process and the system itself. other tasksactively participate in all company programs and activities under quality improvement, safety & security, sustainability, corporate social responsibility, risk management etc. performs other tasks related to the job as may be assigned by the immediate superior.

qualificationseducation:electronics or electrical engineering graduate or equivalent (instrumentation and control engineering, industrial instrumentation, electronics or related course graduate)experiencewith at least 2 year experience working on process control and instrumentation operation and maintenancewith a strong background in plc and scada/hmi.license/slicensed engineer is an advantage but not required


#j-18808-ljbffr"
Lead Electrical and Instrumentation Engineer,Franklin Baker,"Santa Cruz, Davao",N/A,"lead electrical and instrumentation engineer1 day ago - be among the first 25 applicants

get ai-powered advice on this job and more exclusive features. direct message the job poster from franklin baker company of the philippineshr business partner @ franklin baker company | industrial engineeringwe're seeking an experienced electrical and instrumentation technician to join our team at franklin baker incorporated. as an electrical and instrumentation technician, you'll oversee the installation, maintenance, calibration, and repair of industrial instrumentation and control systems, as well as electrical systems and equipment.

key responsibilities:leadership and supervision: supervise and lead a team of instrumentation and electrical technicians, providing guidance and support as needed. instrumentation and electrical systems: oversee the installation, maintenance, calibration, and repair of instrumentation and control systems, as well as electrical systems and equipment. troubleshooting and repair: diagnose and repair complex issues with instrumentation and electrical systems using technical expertise and diagnostic tools.

calibration and testing: ensure instruments and electrical systems are properly calibrated and tested for accuracy and reliability. documentation and record-keeping: maintain accurate records of systems, repair history, and calibration results. collaboration and training: work with engineers, technicians, and production personnel to design, install, and train on new systems.

requirements and qualifications:education: bachelor's degree in electrical engineering, instrumentation technology, or related field. experience: 5-10 years in instrumentation and electrical systems, preferably in food processing, with at least 2 years in supervisory roles. experience in a food processing environment, preferably with coconut or similar products.

knowledge of safety regulations such as haccp and gmp. ability to work efficiently in a fast-paced environment with minimal supervision. skills: strong understanding of electrical, electronic, and pneumatic systems.

proficiency in reading technical documents and schematics. excellent problem-solving, analytical, communication, and leadership skills. if you're a motivated and experienced professional, we invite you to join our dynamic team.

apply now with your resume and cover letter highlighting your relevant experience and qualifications. additional details:seniority level: mid-senior level

employment type: full-time

job function: engineering and information technologyindustries: food & beveragesreferrals increase your chances of interviewing at franklin baker company of the philippines by 2x.set up job alerts for “lead electrical and instrumentation engineer” roles.we’re unlocking community knowledge in a new way. experts add insights directly into each article, started with the help of ai.


#j-18808-ljbffr"
Instrumentation and Process Control Engineer,Aboitiz Foods,"Bamban, Central Luzon",N/A,"company descriptionaboitiz foods is an integrated regional food and agribusiness company dedicated to creating a high-performance culture anchored on our time-honored values of integrity, teamwork, innovation, and responsibility. through the collective strengths of our subsidiaries, pilmico and gold coin, we believe in sustainably feeding asia’s growth from mill to meal. we are constantly improving and optimizing our processes by integrating the value chain around asia.

we leverage our sector expertise and capabilities to deliver quality every time. with our world-class technology and culture of constant innovation, we devote ourselves to serving you better. at aboitiz foods, we embrace change and inspire innovation, leading the way in food and agribusiness solutions.

join us as we shape the future of food in asia and build a culture where, together, we nourish the future. job descriptionthe process control and instrumentation technician is responsible for maintaining and troubleshooting process control and instrumentation systems ensuring the reliability of all process controllers and instruments and software application critical to plant operations. the process control and instrumentation technician contributes a critical role in the plant by ensuring all equipment in the plant is reliable, available and safe to use at all times.

maintains and troubleshoots process controllers ensuring optimal performance and ensuring the efficient running and prolong service life of the machines and equipment. maintains and troubleshoots measuring instruments ensuring accuracy of reading. maintains and troubleshoots communications equipment ensuring that these are continuously online.

calibrates all plant electronic control and measuring equipment ensuring that measuring and monitoring devices remain reliable and that these conform to iso requirements. debugs and configures scada software applications and ensures that problems detected do not recur. troubleshoots and performs reprogramming of programmable logic controller (plc) system as maybe required.

assists in the monitoring of electrical control circuits and performs electrical troubleshooting during wheat unloading and ensuring that minor electrical troubles are immediately detected and addressed. monitors electro-pneumatic equipment and performs electro-pneumatic troubleshooting ensuring that these are running smoothly and minor troubles are immediately detected and addressed. installs and configures instrumentation and control devices and ensures that installation and configuration are in accordance with the instrument manual.

starts up and commissions instrumentation and control systems ensuring that these conform to requirements set by process owners and that plant automation systems remain reliable. maintains communication facilities, both software and hardware, ensuring that communication problems are immediately detected and addressed and that communication lines with external contacts are always online. attends to emergency and night calls when needed.

food safetyensures execution of quality, halal, health and food safety policy, standards and regulations within the team. responsible for reporting problems related to halal, food safety & quality management system to identified authorities. sap systemimplementation of the sap enterprise asset management system (sap eam), ensuring optimum utilization of the system.

regular accomplishment of work orders gathered in sap.ensure sap eam data are reliable for the formulation appropriate enhancement on the maintenance process and the system itself. other tasksactively participate in all company programs and activities under quality improvement, safety & security, sustainability, corporate social responsibility, risk management etc. performs other tasks related to the job as may be assigned by the immediate superior.

qualificationseducation:electronics or electrical engineering graduate or equivalent (instrumentation and control engineering, industrial instrumentation, electronics or related course graduate)experiencewith at least 2 year experience working on process control and instrumentation operation and maintenancewith a strong background in plc and scada/hmi.license/slicensed engineer is an advantage but not required


#j-18808-ljbffr"
