Role of Job,Company Name,Company Location,Type of Work,Description,extracted_skills
Scada Engineer,WHR Global Consulting,"Tarlac City, Central Luzon",,"educational requirements:
bachelor's degree in electrical engineering, electronics and communications engineering, computer engineering, or a related field.
a professional engineer (pe) license is a plus but not always required.
technical skills:
scada system knowledge

expertise in supervisory control and data acquisition (scada) systems used in monitoring and controlling solar power plant operations.
familiarity with scada software (e.g., siemens, schneider electric, ge, or wonderware).
automation and control systems

experience with plc (programmable logic controller) and hmi (human-machine interface) programming.
understanding of distributed control systems (dcs) and remote terminal units (rtus).
communication protocols

knowledge of communication protocols like modbus, opc, iec 61850, dnp3, or tcp/ip.
electrical systems

understanding of electrical systems in solar power plants, including inverters, transformers, and grid connections.
experience with metering and power quality monitoring.
networking

familiarity with networking concepts, including routers, switches, vpns, and cybersecurity for industrial systems.
data analysis

ability to interpret scada data for performance optimization and troubleshooting.
experience:
2–5 years of experience working with scada systems, preferably in the renewable energy sector or similar industries such as power plants like solar power plant.
hands-on experience in the commissioning, maintenance, and troubleshooting of scada systems in solar power plants is highly advantageous.
certifications:
scada-related certifications (e.g., wonderware, siemens, or schneider electric certifications).
networking certifications like ccna (cisco certified network associate) can be an asset.
renewable energy certifications, such as courses in solar pv systems, are a bonus.
must be willing to be 2 year project based employment term.
soft skills:
strong problem-solving and analytical skills.
excellent communication and teamwork abilities for coordinating with multi-disciplinary teams.
willingness to work in tarlac power plant site","['plc', 'programmable logic controller', 'scada', 'supervisory control and data acquisition', 'dcs', 'distributed control system', 'modbus', 'cybersecurity for industrial systems', 'sis']"
Application Automation Engineer,Accenture,"Taguig, Metro Manila",,deliver predictive and intelligent delivery approaches based on automation and analytics. drive the automation of delivery analytics to gather insights from data.,[]
Plant Engineer - Mechatronics,Coca-Cola Europacific Aboitiz Philippines,Central Luzon,,"the plant engineer – mechatronics is responsible in providing specialist technical support and diagnostic for the plant’s line equipment. the role is also responsible for the troubleshooting and execution of maintenance either preventive or corrective for the plant’s line equipment.

key responsibilities
1. operations
• provide 2nd level maintenance support to line equipment in the event of equipment failures.
• conducts health checks or diagnostics on line equipment capability vs. performance to determine the necessary adjustment and maintenance required
• validates the performance acceptance test on new line equipment
• manage backup lists of mechanical settings and parameters of line equipment according to specialization
• conducts verification of maintenance effectiveness for the line equipment
• performs monitoring and filled in all relevant log sheets and immediately feedback superior for any observed parameter deviation
2. maintenance execution
• execute planned, corrective, break-in work , condition based and predictive maintenance

• perform fault-finding and a structured break down analysis on failed components
• carry out new project/equipment installations within expected time frames when assigned

position requirements:

• at least 2 years of work experience in mechatronics/line technician related position in a food manufacturing industry or fmcg

• fresh graduate are welcome to apply
• graduate of any electronics/electrical/mechanical/mechatronics engineering or any related technology & engineering field
• basic knowledge on electrical and machine safety
• basic knowledge on project management
• with experienced in handling improvement projects
• experience in process engineering
o work request process
o work order cycle process
• proficiency with microsoft office applications
• with basic knowledge on rca tools: 5 whys and bda
classified as confidential. please do not forward this to unintended users. otherwise, request necessary permission.
• with basic understanding of hira (hazard identification and risk assessment)
• advantage but not required if registered master electrician/electronics technician/electronics engineer/electrical engineer/mechanical engineer
• advantage but not required with ncii certifications on welding and machining",['sis']
"AI and Automation Engineer (Office-based, NOT WFH, NOT Hybrid)",FIT BUSINESS SERVICES INC,"Clark, Central Luzon",Hybrid,"about the role
we are looking for an experienced ai and automation engineer to lead the automation of our proprietary it platform. your goal is to minimise or remove unnecessary human touches in operational processes, integrate ai into workflows, and deliver measurable efficiency gains across all service lines.

key responsibilities

map current platform processes, identify automation opportunities, and remove operational bottlenecks

design, build, and integrate ai-driven solutions for repetitive and rules-based tasks

develop and deploy nlp functions for customer and internal queries

implement predictive analytics for decision-making and forecasting

integrate third-party apis and tools to expand platform capabilities

establish automated reporting and compliance tracking

monitor ai performance and optimise models for accuracy and efficiency

ensure secure handling of data and compliance with relevant regulations

document processes and train team members on ai-enhanced workflows

continuously identify new automation opportunities and emerging technologies

qualifications

education

bachelor’s degree in computer science, information technology, engineering, or related field

master’s degree in ai, data science, or similar is an advantage

technical skills

strong programming skills in python, javascript/typescript, and sql

proficiency with ai/ml frameworks: tensorflow, pytorch, langchain, openai api

experience with rpa tools: uipath, automation anywhere, blue prism

api integration and workflow automation expertise

familiarity with cloud platforms: aws, azure, google cloud

devops skills: git, docker, kubernetes

knowledge in predictive analytics, nlp, and process mapping

bi tools experience: power bi, tableau, or similar

experience

at least 3–5 years in ai development, automation engineering, or related roles

proven success in saas platform development and process automation

experience in compliance-driven industries is preferred

soft skills

strong problem-solving and analytical thinking

excellent communication and documentation skills

ability to collaborate with cross-functional teams

continuous learning mindset to adapt to emerging ai technologies",[]
QA Automation Engineer (Remote),"Legalmatch Philippines, Inc.","Cebu City, Central Visayas",Hybrid,"as a qa automation engineer, your primary responsibility is to ensure the quality of our software products by developing, executing, and maintaining automated tests. you will work closely with the development team and other stakeholders to identify areas that can be automated and create scripts that will simulate user actions and behavior. responsibilities:defining and establishing test automation strategies and processes for the company.

performing automation and manual testing. leading, implementing, and reviewing the design and development of all aspects of automation testing along with the creation, execution, and maintenance of automated scripts. monitoring all automation processes and preparing status reports for all progress.

documenting all automation processes and designing an efficient automation framework for all web products. implementing reusable and robust test cases and evaluating results. providing insights on improving the tools, environment, and architecture of our automation framework and test scripts.

requirements:3+ years of experience in automation and manual testing. experience in writing automated tests in selenium and cypress. solid technical knowledge of automation tests and scripting.

intermediate knowledge of javascript, html, and css.excellent understanding of agile methodologies. experience in providing inputs regarding the improvements of tools and environment of our existing automation framework. our ideal candidate possesses the following traits:proactive, adaptable, and flexible.

highly professional. willingness to go the extra mile to achieve desired outcomes.strong collaboration and communication skills to work effectively with cross-functional teams. strong problem-solving skills.

committed to continuous improvements and willing to experiment with new approaches and techniques to work processes.


#j-18808-ljbffr",[]
"PLC Technician - Operations, Sorting Center, SPX Express (Calamba, Laguna)",Shopee,"Calamba City, Calabarzon",Hybrid,"job description

installation and configuration 
install plc hardware and software in accordance with specifications and safety standards.
configure plc systems for optimal performance and integration with other control systems.

programming and development 
develop and modify plc programs using programming languages such as ladder logic, function block diagram, and structured text.
implement control strategies and troubleshoot programming issues.

maintenance and troubleshooting

regularly performing checks and maintenance to prevent breakdowns.
conducting inspections to ensure equipment is functioning correctly.
diagnose and resolve technical issues related to plc hardware and software.
perform repairs and replacements as needed to ensure minimal downtime.
installing new equipment or machinery.

testing and calibration 
test plc systems and associated equipment to verify proper operation.
calibrate and adjust plc settings to maintain accuracy and performance.

documentation and reporting 
maintain detailed records of plc configurations, programming changes, and maintenance activities.
prepare and submit reports on system performance, issues, and resolutions.
keeping records of maintenance activities and repairs.

safety and compliance 
adhere to safety protocols and industry regulations to ensure a safe working environment.
ensure that all installations and repairs comply with relevant standards and codes.


training and support

provide training and support to other team members and operators on plc systems and troubleshooting techniques.
assist with the development of operational procedures and manuals.
perform maintenance works on mechatronics if needed.


continuous improvement 
participate in continuous improvement initiatives to enhance plc system performance and efficiency.
stay updated with advancements in plc technology and recommend upgrades or changes as necessary.

requirements

associate’s degree in electrical engineering, electronics, automation, or a related field. bachelor’s degree is a plus.

minimum 5 years of experience working with plc systems in an industrial setting.

proficiency in plc programming languages (e.g., ladder logic, function block diagram, structured text).

strong understanding of electrical systems, schematics, and wiring diagrams.

excellent problem-solving and analytical skills.

amenable to work in calamba laguna

ability to work independently and as part of a team.","['plc', 'ladder logic', 'sis', 'c programming']"
Data & Control Programmer (PLC Programmer),Motolite,"Santa Maria, Central Luzon",Hybrid,"job summary:


we are seeking a skilled data & control programmer to design, develop, and maintain control systems and automation solutions. the ideal candidate will have expertise in control theory, plc programming, instrumentation, and system integration. you will work closely with multidisciplinary teams to ensure optimal performance, reliability, and safety of automated systems.

key responsibilities:


design and develop control systems using plcs, dcs, scada, and hmi technologies.

develop control algorithms and implement in software/hardware systems.

perform system modeling, simulation, and tuning of control loops.

integrate sensors, actuators, and other control components with software systems.

prepare technical documentation including wiring diagrams, logic flowcharts, and specifications.

collaborate with electrical, mechanical, and process engineers on multidisciplinary projects.

conduct testing, commissioning, and troubleshooting of control systems on-site or remotely.

ensure systems comply with relevant industry standards, codes, and safety regulations.

participate in continuous improvement initiatives and system upgrades.

provide technical support and training to operators and maintenance personnel.

qualifications:


bachelor’s or master’s degree in electrical engineering, control systems engineering, mechatronics, or related field.

2–5+ years of experience in control system design and implementation (more for senior roles).

proficient in plc programming (siemens, allen-bradley, schneider, etc.) and hmi/scada development.

strong understanding of control theory, feedback systems, and signal processing.

familiarity with industrial communication protocols (e.g., modbus, profibus, ethernet/ip).

experience with system modeling tools (e.g., matlab/simulink) is a plus.

excellent problem-solving, analytical, and communication skills.","['plc', 'scada', 'dcs', 'ethernet/ip', 'modbus', 'profibus', 'c programming', 'matlab', 'simulink']"
ELECTRICAL & CONTROL ENGINEER,Smartech Le Control Inc.,"Carmona, Calabarzon",Hybrid,"job summary:

we are looking for a electrical control engineer who will lead and support automation and electrical control projects. you will be responsible for plc/scada programming, control panel design, system integration, and field commissioning across industrial clients.

job responsibilities:

design and develop electrical control systems and control panel layouts

program plcs, hmi, and scada systems (e.g., siemens, omron, allen-bradley)

conduct field installations, system integration, and troubleshooting

coordinate with project managers and clients for site implementation

prepare documentation, project reports, and electrical schematics

qualifications:

education:

bachelor's degree in electrical engineering, electronics engineering, or related field

experience:

at least 2 years experience in electrical controls, plc/scada/hmi programming

licensed ee/ece is a plus

skills/certifications:

strong knowledge of control systems, automation, sensors, and drives

familiar with electrical design software (autocad, eplan, etc.)

can read p&id, wiring diagrams, and layout plans

with tesda certification or prc license is an advantage

willing to do site work and client coordination","['plc', 'scada']"
Mechatronics,"DAC Industrial Electronics, Inc.","San Juan, Metro Manila",Hybrid,"key responsibilities:

- design and develop automated systems, robotics, and electro-mechanical equipment
- integrate mechanical, electrical, and software components into cohesive systems
- troubleshoot and maintain automation equipment and production lines
- program and configure plcs, sensors, actuators, and other control systems
- collaborate with cross-functional teams in engineering, production, and quality assurance
- support continuous improvement initiatives related to system reliability and efficiency
- prepare and maintain technical documentation, manuals, and schematics
- ensure systems comply with safety and regulatory standards

qualifications:

- bachelor’s degree in mechatronics, mechanical, electrical, or electronics engineering
- solid understanding of sensors, actuators, motion control, and embedded systems
- skilled in cad software (e.g., solidworks, autocad) and circuit design
- strong analytical, problem-solving, and communication skills
- knowledge of lean manufacturing and industrial safety standards is an advantage
- ability to work independently and in a multidisciplinary team environment","['plc', 'embedded systems', 'solidworks']"
Lead Control Systems Engineer,Thermo Systems LLC.,"Parañaque, Metro Manila",Hybrid,"career opportunities with thermo systems llccareers at thermo systems llccurrent job opportunities are posted here as they become available. subscribe to our rss feeds to receive instant updates as new positions become available.

thermo systems is a global, full-service control systems integration partner, delivering world-class automation solutions in the district energy, life sciences, and mission critical markets. our diverse leadership and dedicated engineering team are committed to excellence and consistent growth. our unique company culture, known as ""the thermo

way,"" strengthens our team by fostering an environment where all members perform their best. our commitment to being unified, dynamic, and delivering excellence is evident in how we build trusting relationships through connection and camaraderie, ability to adapt, and focus on integrity and success. these values guide our daily operations and interactions, setting the standard for our team's behavior.

as we continue to grow and evolve, ""the thermo way"" supports our goals of becoming a world-class organization, ensuring employee success, customer success, and financial strength. job summary:works on control system projects; leads in hardware and software design, development, integration, testing, and installation support.

listens, takes direction, and seeks guidance from the assigned project leads, the supervisors, and company leadership. education and experience:bachelor of science; electrical engineering, mechanical engineering, computer science, or other pertinent curriculum combined with relevant technical experience. typically 2+ years total experience.

proven track record: 1-3 years as control system engineer or equivalent. duties and responsibilities:technical responsibilities:displays electrical and mechanical system troubleshooting skills. demonstrate self-sufficiency in the field.

demonstrate the ability to lead other project members during installation, start-up, and commissioning. lead and perform factory acceptance tests (fat). read and interpret piping & instrumentation diagrams and wiring diagrams.

exhibit full understanding of human-machine interface (hmi) and programmable logic controller (plc) applications. well versed in the company’s quality management system (qms). provide review of standard documents generated by others for technical, grammatical, and aesthetic content.

demonstrate the ability to perform intermediate control system design with guidance from others. provide instrumentation specifications for basic control systems. demonstrate an understanding of information technology (it) system, network infrastructure, and computer system design, as it relates to control system integration.

customer service:communicate in an effective, positive, and proactive manner with customers. follow customer specific site standards and procedures. always conduct business in professional manner.

provide excellent customer care and support. be patient, attentive, and responsive to customers in solving their problems. always follow up and honor commitments with customers.

develops an understanding of the customer needs and actively seeks to service those needs. complete assigned tasks accurately, on schedule, and under budget. project responsibilities:understand the scope of work assigned to you, identify when issues arise that are beyond that scope, and communicate those issues to the assigned project lead.

lead individual project related tasks and/or small to mid-sized projects in their entirety. provides accurate feedback on status of assigned tasks. demonstrates an awareness of project contracts and specifications.

required skills and abilities:in addition to control system engineer skills and abilities:effectively communicates with co-workers. strategically thinks and leverages knowledge to solve problems. able to be independently effective and takes personal responsibility.

manage time efficiently. promotes a positive/collaborative team culture. overnight travel may be required up to 50%on call:on call rotation participation may be required based on location and client needs.

work authorization/other requirements:proof of eligibility to work in the country where the position is located is required. maintain a valid drivers license. fit for duty at all timesculture:model thermo systems core values of employee success, customer success and financial strength by:seeking new and additional business through project change orders, additional services to existing customers, and referrals for new customers/projects.

drive financial success. be a good teammate, support your colleagues, promote a positive atmosphere for those around you. drive employee success.

go the extra mile for your customer, take ownership of their needs, over communicate. drive customer success. foster an environment of integrity, trust, collaboration, professionalism, serving one another, leading by example, and assuming good intent each and every day.

what you'll get:competitive salary, annual bonuses, 401(k) with company match, and business travel reimbursement: we appreciate our employees, and we make sure they know it.

benefits: we offer full-time employees multiple healthcare packages, including low-cost options. casual dress: every day is ""casual friday""; we want you to be comfortable when you come to work. training: we offer in-house and factory technical training to keep our staff sharp.

tuition reimbursement: we encourage academic advancement and professional credentialing. vacation/sick time: we believe work-life balance is essential. ensuring our employees have time to truly relax and recharge is important to us.

culture & extras: we provide free lunches, regular team bonding & fun office events, and plenty of company swag. thermo systems provides equal employment opportunities (eeo) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics.salary range: $75,000.00 - $90,000.00/annually


#j-18808-ljbffr","['plc', 'programmable logic controller', 'sis']"
